Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn
4.0,14.0,4,Mobile Phone,5,Single,5,1,4.0,146.66,1
9.0,11.0,4,Mobile Phone,5,Married,10,1,0.0,134.19,0
9.0,6.0,3,Laptop & Accessory,2,Single,5,0,0.0,166.53,0
5.0,13.0,4,Laptop & Accessory,3,Divorced,2,0,8.0,154.84,0
28.0,14.0,4,Grocery,4,Married,2,1,0.0,235.77,0
22.0,9.0,3,Laptop & Accessory,4,Divorced,5,0,3.0,206.2,0
30.0,6.0,5,Laptop & Accessory,3,Married,3,1,2.0,156.6,0
20.0,8.0,4,Mobile Phone,1,Single,2,1,2.0,132.94,0
8.0,,4,Mobile Phone,1,Married,2,0,2.0,123.76,0
6.0,16.0,6,Laptop & Accessory,1,Married,2,0,8.0,171.68,0
10.0,25.0,3,Fashion,4,Single,2,1,9.0,176.42,0
14.0,8.0,4,Laptop & Accessory,1,Married,6,0,4.0,190.13,0
14.0,18.0,3,Mobile Phone,2,Divorced,4,1,0.0,147.66,0
16.0,9.0,6,Others,1,Married,3,0,10.0,323.45,1
1.0,36.0,4,Mobile Phone,5,Married,3,0,3.0,164.07,0
29.0,7.0,4,Others,5,Single,2,1,14.0,315.45,0
19.0,27.0,4,Grocery,1,Married,2,1,11.0,259.96,0
1.0,16.0,4,Mobile Phone,1,Single,3,0,3.0,151.1,0
11.0,,3,Mobile Phone,4,Married,6,0,8.0,125.92,0
1.0,30.0,5,Laptop & Accessory,1,Married,9,1,1.0,166.57,0
3.0,13.0,4,Mobile Phone,2,Divorced,3,0,9.0,156.31,0
10.0,16.0,3,Laptop & Accessory,4,Single,3,1,1.0,141.97,0
9.0,16.0,5,Fashion,3,Married,3,1,16.0,231.85,0
19.0,14.0,3,Laptop & Accessory,3,Divorced,6,0,3.0,189.34,0
1.0,7.0,4,Laptop & Accessory,3,Divorced,2,0,3.0,173.98,0
3.0,10.0,4,Laptop & Accessory,3,Married,6,1,1.0,177.38,1
1.0,8.0,5,Mobile Phone,5,Single,8,0,8.0,148.62,1
,6.0,4,Mobile Phone,4,Single,2,1,2.0,121.74,1
20.0,17.0,5,Fashion,2,Divorced,4,1,,215.71,0
,13.0,3,Mobile Phone,5,Single,4,1,3.0,121.66,1
16.0,33.0,4,Grocery,4,Married,7,0,9.0,260.25,0
,9.0,3,Mobile Phone,1,Married,5,0,4.0,120.97,0
0.0,,3,Mobile Phone,5,Married,2,1,0.0,123.98,1
30.0,13.0,3,Grocery,5,Divorced,11,0,8.0,257.12,0
7.0,11.0,5,Mobile Phone,4,Divorced,8,0,2.0,151.22,0
3.0,28.0,4,Laptop & Accessory,3,Divorced,3,1,0.0,163.8,1
0.0,17.0,3,Laptop & Accessory,5,Married,2,1,3.0,147.41,0
,8.0,3,Mobile Phone,3,Married,3,0,2.0,120.01,0
27.0,31.0,2,Fashion,1,Married,5,0,3.0,195.05,0
14.0,21.0,4,Laptop & Accessory,5,Married,3,0,3.0,171.39,0
,7.0,4,Mobile Phone,3,Married,2,0,0.0,115.63,0
12.0,27.0,5,Laptop & Accessory,3,Married,7,0,2.0,157.36,0
20.0,7.0,3,Mobile Phone,1,Married,8,0,2.0,134.2,0
14.0,13.0,4,Grocery,1,Single,3,1,8.0,289.37,0
1.0,8.0,4,Mobile Phone,1,Married,11,1,3.0,172.87,1
0.0,,3,Mobile Phone,3,Single,2,1,7.0,123.94,1
23.0,6.0,3,Others,4,Married,4,1,7.0,281.72,0
3.0,12.0,4,Laptop & Accessory,2,Divorced,1,0,7.0,146.27,0
11.0,36.0,4,Fashion,4,Married,3,1,10.0,243.49,1
31.0,10.0,2,Mobile Phone,5,Married,6,1,1.0,151.7,0
11.0,18.0,4,Mobile Phone,3,Single,6,0,3.0,161.29,0
1.0,14.0,4,Mobile Phone,3,Married,5,1,8.0,158.39,1
16.0,10.0,4,Fashion,1,Single,4,0,17.0,202.31,0
0.0,21.0,3,Fashion,3,Married,8,1,7.0,236.1,1
0.0,,4,Mobile Phone,3,Divorced,2,0,2.0,125.39,0
9.0,23.0,4,Fashion,3,Divorced,6,1,1.0,201.32,0
13.0,18.0,3,Laptop & Accessory,5,Married,3,0,7.0,144.48,0
1.0,16.0,5,Mobile Phone,4,Married,3,0,1.0,151.94,0
6.0,12.0,5,Laptop & Accessory,4,Married,5,0,6.0,183.78,0
4.0,6.0,5,Laptop & Accessory,3,Divorced,1,0,4.0,143.45,0
1.0,10.0,4,Laptop & Accessory,3,Single,11,0,1.0,170.77,1
8.0,31.0,4,Fashion,4,Married,4,0,8.0,209.03,0
31.0,22.0,4,Grocery,3,Married,4,1,3.0,282.87,0
3.0,35.0,3,Fashion,4,Married,4,0,3.0,192.5,0
14.0,16.0,5,Laptop & Accessory,2,Divorced,11,0,3.0,173.76,0
12.0,9.0,4,Mobile Phone,3,Divorced,8,1,2.0,155.57,0
18.0,8.0,5,Laptop & Accessory,3,Single,1,0,1.0,166.32,0
14.0,11.0,1,Laptop & Accessory,4,Single,4,0,2.0,168.7,0
13.0,8.0,3,Others,3,Married,1,0,9.0,294.36,0
1.0,15.0,4,Mobile Phone,1,Single,3,0,5.0,159.45,0
20.0,10.0,3,Laptop & Accessory,1,Single,2,1,7.0,141.63,0
6.0,7.0,4,Laptop & Accessory,4,Married,3,0,10.0,187.2,0
4.0,14.0,3,Laptop & Accessory,1,Single,2,0,8.0,144.24,0
27.0,16.0,3,Laptop & Accessory,5,Single,7,1,4.0,144.4,0
4.0,16.0,4,Laptop & Accessory,5,Married,3,0,11.0,155.72,0
,28.0,3,Mobile Phone,3,Divorced,5,1,1.0,121.32,1
27.0,14.0,3,Laptop & Accessory,3,Single,8,0,0.0,137.8,0
5.0,14.0,4,Laptop & Accessory,4,Divorced,2,1,9.0,152.28,0
1.0,11.0,6,Fashion,2,Divorced,3,0,,229.0,1
4.0,8.0,3,Laptop & Accessory,2,Single,5,1,5.0,165.82,0
1.0,9.0,4,Laptop & Accessory,3,Single,3,1,5.0,169.78,0
29.0,15.0,3,Grocery,1,Married,8,0,,211.03,0
14.0,6.0,2,Fashion,5,Divorced,2,0,7.0,183.92,0
,8.0,1,Mobile Phone,1,Married,2,0,7.0,120.11,0
14.0,12.0,3,Mobile Phone,5,Single,3,1,17.0,147.21,0
6.0,11.0,5,Laptop & Accessory,3,Married,3,0,9.0,186.62,0
9.0,17.0,4,Laptop & Accessory,1,Married,5,0,0.0,166.52,0
9.0,18.0,3,Laptop & Accessory,3,Married,10,1,1.0,146.63,0
28.0,8.0,3,Fashion,4,Divorced,4,0,,209.76,0
10.0,19.0,4,Laptop & Accessory,3,Married,11,1,2.0,171.63,0
11.0,7.0,3,Mobile Phone,4,Married,1,1,2.0,129.91,0
1.0,17.0,4,Fashion,3,Married,8,0,,225.48,1
1.0,30.0,2,Mobile Phone,1,Married,3,1,5.0,152.25,0
30.0,15.0,4,Mobile Phone,5,Married,6,1,3.0,167.57,0
1.0,16.0,6,Mobile Phone,4,Single,3,0,3.0,152.6,1
4.0,18.0,3,Others,3,Divorced,2,0,8.0,295.45,1
6.0,15.0,5,Laptop & Accessory,3,Single,9,0,3.0,153.46,1
7.0,13.0,4,Laptop & Accessory,2,Married,5,0,8.0,202.25,0
4.0,12.0,5,Mobile Phone,2,Married,11,0,4.0,162.61,0
20.0,11.0,3,Others,3,Married,5,0,1.0,283.0,0
1.0,11.0,4,Mobile Phone,2,Divorced,3,1,7.0,161.91,1
17.0,34.0,1,Grocery,1,Married,4,1,11.0,233.2,0
4.0,13.0,3,Laptop & Accessory,5,Married,2,0,12.0,143.06,0
7.0,32.0,4,Laptop & Accessory,3,Divorced,3,0,2.0,170.39,0
8.0,11.0,3,Fashion,4,Single,1,0,13.0,180.95,0
8.0,15.0,4,Laptop & Accessory,3,Single,5,0,4.0,186.42,0
5.0,14.0,5,Mobile Phone,3,Married,5,0,3.0,148.29,0
0.0,6.0,3,Laptop & Accessory,4,Married,1,1,4.0,163.49,0
16.0,33.0,3,Fashion,5,Married,9,0,1.0,208.2,0
26.0,29.0,3,Grocery,2,Single,7,0,8.0,242.75,0
19.0,7.0,5,Fashion,3,Married,5,0,5.0,232.48,0
13.0,7.0,3,Fashion,2,Married,2,0,,221.13,0
8.0,7.0,4,Mobile Phone,4,Married,3,1,4.0,148.42,1
4.0,29.0,5,Laptop & Accessory,3,Divorced,4,1,1.0,188.8,1
10.0,15.0,4,Fashion,3,Married,3,0,,225.96,0
14.0,15.0,4,Laptop & Accessory,5,Married,4,1,1.0,190.16,0
1.0,35.0,5,Laptop & Accessory,5,Single,5,0,4.0,167.84,1
15.0,,1,Laptop & Accessory,4,Divorced,7,1,0.0,123.72,0
6.0,16.0,3,Laptop & Accessory,3,Single,2,0,9.0,154.87,0
5.0,9.0,5,Laptop & Accessory,5,Married,5,0,1.0,189.1,0
1.0,17.0,5,Mobile Phone,3,Single,3,0,3.0,151.25,1
3.0,6.0,5,Mobile Phone,3,Divorced,4,0,2.0,138.33,0
25.0,21.0,4,Laptop & Accessory,2,Divorced,6,0,8.0,174.36,0
11.0,28.0,3,Mobile Phone,5,Divorced,3,1,8.0,160.64,0
22.0,24.0,3,Laptop & Accessory,2,Married,2,1,7.0,168.04,0
5.0,8.0,3,Laptop & Accessory,4,Married,1,1,2.0,140.78,0
2.0,8.0,3,Laptop & Accessory,2,Single,2,0,9.0,145.54,0
12.0,8.0,3,Fashion,3,Single,1,0,,209.38,0
9.0,16.0,5,Fashion,3,Divorced,3,1,16.0,231.85,0
9.0,6.0,3,Laptop & Accessory,4,Divorced,1,0,5.0,152.28,0
1.0,7.0,5,Mobile Phone,5,Single,8,0,8.0,148.62,1
11.0,8.0,5,Laptop & Accessory,1,Married,3,1,3.0,154.05,0
14.0,29.0,3,Fashion,3,Single,4,1,2.0,170.82,0
1.0,16.0,3,Laptop & Accessory,3,Single,4,0,7.0,136.6,0
18.0,14.0,3,Laptop & Accessory,2,Divorced,10,0,8.0,136.97,0
13.0,32.0,3,Laptop & Accessory,5,Divorced,2,0,5.0,183.96,0
9.0,23.0,4,Laptop & Accessory,4,Married,3,0,3.0,155.07,0
2.0,8.0,4,Mobile Phone,3,Single,2,1,3.0,146.54,0
5.0,10.0,4,Mobile Phone,5,Married,3,1,4.0,155.65,0
2.0,8.0,3,Mobile Phone,4,Divorced,1,0,2.0,131.8,0
2.0,16.0,4,Mobile Phone,3,Married,7,0,3.0,148.77,0
26.0,13.0,1,Grocery,3,Married,4,0,3.0,248.14,0
0.0,,4,Mobile Phone,2,Single,2,0,0.0,125.64,1
16.0,21.0,4,Laptop & Accessory,1,Married,4,0,2.0,168.04,0
16.0,20.0,3,Grocery,5,Married,7,0,0.0,271.59,0
10.0,10.0,5,Fashion,1,Married,2,0,5.0,201.44,0
0.0,9.0,3,Laptop & Accessory,3,Single,10,0,0.0,145.77,1
10.0,,3,Mobile Phone,1,Married,2,1,2.0,123.26,0
14.0,12.0,3,Fashion,3,Single,2,0,7.0,192.41,0
16.0,8.0,3,Mobile Phone,1,Single,1,0,8.0,135.39,0
11.0,13.0,4,Laptop & Accessory,2,Single,1,0,5.0,140.28,0
15.0,8.0,4,Laptop & Accessory,2,Single,4,0,0.0,167.81,0
1.0,32.0,5,Mobile Phone,4,Divorced,7,0,2.0,150.46,1
12.0,7.0,5,Fashion,3,Single,11,1,1.0,178.81,1
17.0,14.0,1,Mobile Phone,1,Married,3,1,2.0,128.18,0
10.0,16.0,5,Laptop & Accessory,4,Married,4,1,,213.47,0
4.0,11.0,3,Laptop & Accessory,3,Married,2,0,2.0,183.46,0
13.0,16.0,4,Others,1,Single,4,0,4.0,319.31,0
7.0,15.0,5,Mobile Phone,2,Single,2,0,3.0,148.42,0
,11.0,3,Mobile Phone,4,Single,2,1,0.0,118.78,1
8.0,10.0,4,Mobile Phone,5,Divorced,6,0,3.0,148.62,1
,6.0,3,Mobile Phone,3,Single,1,1,2.0,121.54,0
12.0,7.0,4,Fashion,3,Single,6,1,1.0,203.61,0
,9.0,3,Mobile Phone,1,Married,2,0,0.0,117.06,0
11.0,8.0,4,Laptop & Accessory,2,Divorced,4,0,5.0,152.49,0
6.0,6.0,2,Grocery,3,Married,5,0,5.0,261.84,0
10.0,9.0,5,Fashion,3,Married,3,0,1.0,200.96,0
7.0,32.0,5,Laptop & Accessory,4,Single,3,0,3.0,168.2,0
1.0,26.0,3,Laptop & Accessory,2,Single,10,1,5.0,178.04,1
3.0,11.0,4,Mobile Phone,1,Married,10,0,3.0,137.61,0
9.0,14.0,4,Mobile Phone,3,Married,3,0,1.0,149.04,0
26.0,7.0,4,Grocery,2,Divorced,4,0,9.0,295.99,0
3.0,22.0,3,Laptop & Accessory,3,Married,9,0,2.0,153.01,0
10.0,14.0,4,Mobile Phone,4,Single,4,0,4.0,145.13,0
4.0,34.0,4,Laptop & Accessory,1,Married,9,0,8.0,178.04,0
0.0,6.0,1,Fashion,4,Single,2,0,7.0,174.46,1
24.0,7.0,4,Laptop & Accessory,3,Divorced,2,0,14.0,188.47,0
24.0,13.0,4,Laptop & Accessory,3,Married,3,0,0.0,161.32,0
25.0,13.0,3,Fashion,4,Single,8,0,0.0,204.45,0
11.0,23.0,4,Fashion,3,Divorced,1,0,9.0,188.23,0
1.0,13.0,5,Mobile Phone,1,Single,3,1,1.0,154.26,1
17.0,,3,Mobile Phone,1,Single,7,1,2.0,124.36,0
3.0,22.0,6,Mobile Phone,1,Married,2,1,4.0,146.68,0
13.0,30.0,3,Laptop & Accessory,1,Married,2,0,7.0,133.19,0
0.0,7.0,4,Mobile Phone,3,Married,2,1,0.0,129.33,0
25.0,13.0,5,Mobile Phone,3,Single,2,0,8.0,153.38,0
5.0,30.0,5,Laptop & Accessory,2,Divorced,2,0,9.0,180.82,0
0.0,6.0,3,Mobile Phone,4,Single,2,1,4.0,132.02,1
19.0,32.0,5,Laptop & Accessory,1,Married,2,0,9.0,184.06,0
1.0,14.0,4,Mobile Phone,4,Single,3,1,1.0,149.72,1
27.0,8.0,3,Fashion,3,Married,10,0,3.0,235.49,0
1.0,16.0,4,Laptop & Accessory,5,Single,2,1,4.0,207.24,1
,7.0,3,Mobile Phone,1,Married,2,0,3.0,120.44,0
12.0,16.0,4,Mobile Phone,1,Married,4,0,4.0,172.71,0
0.0,,1,Mobile Phone,2,Divorced,9,0,0.0,125.34,0
2.0,8.0,4,Mobile Phone,1,Married,3,0,4.0,145.44,0
6.0,21.0,3,Laptop & Accessory,1,Married,1,1,1.0,148.78,0
20.0,9.0,3,Grocery,3,Married,10,1,13.0,237.7,0
20.0,8.0,3,Others,4,Single,8,1,8.0,292.46,1
3.0,7.0,4,Laptop & Accessory,5,Married,2,0,3.0,178.73,0
6.0,9.0,5,Laptop & Accessory,5,Single,6,0,5.0,146.76,0
11.0,26.0,4,Laptop & Accessory,3,Married,5,0,3.0,182.68,0
14.0,16.0,4,Mobile Phone,4,Married,10,1,1.0,161.17,0
14.0,17.0,5,Fashion,4,Married,4,0,,222.05,0
,6.0,5,Mobile Phone,4,Single,8,1,7.0,122.16,1
8.0,16.0,3,Laptop & Accessory,3,Single,4,1,4.0,161.42,0
25.0,10.0,4,Grocery,4,Single,5,0,1.0,262.34,0
7.0,24.0,5,Mobile Phone,3,Married,11,1,1.0,149.37,1
1.0,27.0,3,Mobile Phone,2,Divorced,2,0,2.0,127.13,0
5.0,16.0,3,Laptop & Accessory,1,Single,2,0,8.0,153.96,0
1.0,35.0,4,Laptop & Accessory,4,Divorced,3,0,5.0,187.72,0
4.0,8.0,4,Mobile Phone,4,Married,3,0,8.0,162.48,0
3.0,14.0,1,Fashion,5,Divorced,1,1,,214.16000000000005,0
4.0,8.0,4,Laptop & Accessory,5,Divorced,4,0,0.0,164.1,0
14.0,35.0,6,Fashion,5,Married,5,0,2.0,234.32,0
5.0,16.0,5,Mobile Phone,4,Single,2,1,3.0,151.57,0
11.0,6.0,1,Mobile Phone,3,Divorced,2,0,0.0,128.44,0
27.0,30.0,4,Grocery,2,Single,8,0,9.0,267.75,0
5.0,8.0,3,Laptop & Accessory,3,Single,5,1,7.0,149.98,0
19.0,11.0,4,Laptop & Accessory,5,Married,6,1,4.0,175.06,0
2.0,34.0,4,Mobile Phone,5,Single,2,0,4.0,137.85,0
14.0,9.0,4,Laptop & Accessory,2,Single,3,0,9.0,171.61,0
11.0,10.0,3,Mobile Phone,3,Married,8,0,0.0,133.06,0
12.0,17.0,4,Laptop & Accessory,2,Single,3,1,4.0,181.66,0
6.0,15.0,2,Laptop & Accessory,3,Divorced,7,0,4.0,176.75,0
1.0,9.0,4,Mobile Phone,1,Married,2,0,2.0,150.23,0
15.0,7.0,3,Fashion,5,Divorced,3,0,8.0,208.92,0
15.0,17.0,6,Laptop & Accessory,4,Single,3,0,10.0,186.51,0
10.0,6.0,3,Fashion,2,Single,5,0,2.0,174.91,0
19.0,13.0,3,Laptop & Accessory,3,Divorced,3,0,0.0,152.58,0
16.0,12.0,4,Laptop & Accessory,3,Single,2,1,8.0,140.81,0
1.0,10.0,4,Mobile Phone,1,Single,3,1,1.0,140.69,1
3.0,15.0,3,Laptop & Accessory,5,Married,2,0,10.0,130.72,0
15.0,8.0,4,Mobile Phone,1,Married,5,0,1.0,152.82,0
16.0,35.0,5,Laptop & Accessory,2,Divorced,2,0,5.0,170.23,0
11.0,11.0,4,Mobile Phone,2,Married,6,0,9.0,25.0,0
1.0,8.0,4,Mobile Phone,3,Married,5,0,3.0,154.09,1
17.0,30.0,5,Mobile Phone,3,Single,3,0,4.0,137.08,0
1.0,22.0,4,Mobile Phone,3,Married,3,0,3.0,151.1,1
1.0,9.0,5,Mobile Phone,2,Single,3,0,1.0,136.02,1
16.0,17.0,4,Grocery,5,Married,2,0,10.0,292.99,0
12.0,8.0,4,Laptop & Accessory,3,Single,2,0,10.0,145.53,0
6.0,10.0,4,Laptop & Accessory,5,Married,3,0,4.0,192.25,0
22.0,9.0,2,Mobile Phone,4,Single,7,0,1.0,150.59,0
0.0,19.0,4,Laptop & Accessory,5,Married,6,1,2.0,161.34,1
4.0,6.0,3,Laptop & Accessory,5,Married,2,0,3.0,141.48,0
4.0,6.0,3,Laptop & Accessory,2,Single,9,1,5.0,159.93,1
1.0,7.0,4,Mobile Phone,3,Single,2,0,6.0,145.58,1
17.0,11.0,5,Fashion,2,Single,5,0,,227.31,0
24.0,31.0,4,Grocery,3,Married,5,1,6.0,264.73,0
0.0,,3,Mobile Phone,4,Married,3,1,2.0,123.73,1
6.0,6.0,1,Laptop & Accessory,5,Married,3,0,3.0,153.76,0
0.0,8.0,4,Laptop & Accessory,4,Single,8,1,2.0,199.07,1
0.0,13.0,1,Mobile Phone,5,Single,1,0,7.0,135.78,0
27.0,13.0,4,Laptop & Accessory,3,Married,4,1,6.0,148.06,0
23.0,35.0,4,Grocery,3,Divorced,1,0,7.0,270.46,0
16.0,21.0,4,Grocery,3,Married,2,0,11.0,276.03,0
6.0,9.0,4,Mobile Phone,4,Married,3,0,8.0,148.7,0
16.0,12.0,4,Grocery,2,Married,5,1,0.0,266.27,0
16.0,6.0,3,Laptop & Accessory,2,Divorced,5,0,2.0,155.62,0
10.0,17.0,4,Fashion,4,Married,7,0,8.0,198.14,1
11.0,12.0,5,Laptop & Accessory,1,Married,8,1,9.0,153.29,0
9.0,15.0,3,Fashion,1,Married,5,0,3.0,200.96,1
5.0,16.0,3,Mobile Phone,3,Married,7,0,3.0,134.33,0
2.0,6.0,1,Laptop & Accessory,3,Single,9,1,2.0,162.94,0
1.0,7.0,5,Mobile Phone,3,Married,3,1,1.0,154.33,0
0.0,,3,Mobile Phone,5,Single,6,1,4.0,126.57,1
13.0,9.0,4,Mobile Phone,3,Married,2,1,2.0,126.83,1
12.0,36.0,4,Laptop & Accessory,2,Divorced,5,0,8.0,187.61,0
11.0,12.0,2,Mobile Phone,3,Single,2,0,4.0,160.0,0
17.0,14.0,1,Mobile Phone,2,Divorced,3,1,2.0,128.18,0
6.0,7.0,4,Laptop & Accessory,5,Married,6,0,3.0,165.87,0
0.0,15.0,1,Mobile Phone,3,Married,2,0,4.0,144.01,0
27.0,9.0,5,Fashion,4,Divorced,4,0,13.0,200.25,0
15.0,19.0,4,Mobile Phone,2,Divorced,5,1,1.0,172.66,0
8.0,8.0,4,Mobile Phone,5,Married,7,0,4.0,154.96,0
12.0,15.0,3,Others,1,Single,3,0,3.0,294.31,0
19.0,11.0,4,Laptop & Accessory,4,Married,3,0,9.0,169.47,0
12.0,7.0,3,Laptop & Accessory,2,Single,2,0,9.0,201.25,0
8.0,34.0,1,Laptop & Accessory,3,Married,2,0,8.0,134.07,0
6.0,8.0,3,Mobile Phone,3,Married,2,0,4.0,136.0,0
0.0,9.0,3,Mobile Phone,5,Single,2,1,7.0,133.48,1
1.0,24.0,4,Mobile Phone,4,Married,2,1,2.0,155.58,0
28.0,6.0,3,Others,5,Single,1,1,13.0,290.45,0
1.0,7.0,4,Mobile Phone,2,Single,3,1,9.0,151.86,1
12.0,13.0,5,Laptop & Accessory,3,Married,4,0,8.0,178.21,0
27.0,13.0,4,Laptop & Accessory,1,Single,4,0,3.0,149.5,0
0.0,,2,Mobile Phone,4,Married,2,1,2.0,123.28,0
5.0,9.0,4,Mobile Phone,3,Married,3,0,4.0,159.77,0
8.0,,3,Mobile Phone,2,Divorced,2,0,2.0,125.72,0
15.0,11.0,4,Fashion,3,Married,2,1,,229.47,0
6.0,10.0,3,Laptop & Accessory,4,Married,6,0,7.0,130.55,0
7.0,16.0,1,Laptop & Accessory,1,Married,2,0,2.0,147.24,0
0.0,10.0,4,Laptop & Accessory,5,Married,2,0,3.0,142.56,0
29.0,15.0,3,Grocery,2,Divorced,8,0,,211.03,0
22.0,6.0,4,Grocery,3,Single,8,1,7.0,239.64,0
5.0,19.0,4,Mobile Phone,1,Married,10,1,3.0,164.29,0
16.0,9.0,2,Laptop & Accessory,5,Married,9,0,4.0,187.72,0
3.0,12.0,4,Laptop & Accessory,1,Married,1,0,7.0,146.27,0
10.0,21.0,4,Laptop & Accessory,1,Married,2,1,12.0,190.86,0
9.0,16.0,3,Fashion,3,Married,4,0,7.0,170.94,0
22.0,11.0,3,Laptop & Accessory,3,Divorced,3,0,2.0,166.51,0
13.0,32.0,3,Laptop & Accessory,4,Married,2,0,13.0,156.05,0
12.0,21.0,4,Laptop & Accessory,4,Married,2,0,,224.24,0
9.0,14.0,4,Mobile Phone,3,Divorced,3,0,1.0,149.04,0
25.0,9.0,4,Fashion,3,Married,3,1,4.0,179.69,0
21.0,10.0,4,Grocery,3,Married,11,1,14.0,262.7,0
27.0,26.0,3,Laptop & Accessory,3,Single,4,0,3.0,148.69,0
22.0,9.0,4,Laptop & Accessory,5,Married,5,0,2.0,147.89,0
16.0,15.0,4,Others,2,Married,3,0,10.0,309.3,0
12.0,17.0,4,Laptop & Accessory,1,Single,3,1,4.0,181.66,0
28.0,10.0,4,Grocery,1,Married,5,0,10.0,302.79,0
8.0,,3,Mobile Phone,3,Divorced,2,0,0.0,124.04,0
6.0,10.0,4,Mobile Phone,4,Divorced,9,0,2.0,138.38,0
10.0,33.0,4,Laptop & Accessory,3,Married,8,0,3.0,178.47,0
3.0,27.0,4,Mobile Phone,1,Married,3,0,11.0,163.12,0
9.0,25.0,2,Laptop & Accessory,5,Married,3,0,11.0,177.08,0
13.0,14.0,3,Laptop & Accessory,3,Divorced,4,1,3.0,167.96,1
2.0,7.0,1,Laptop & Accessory,3,Single,9,1,2.0,162.94,0
23.0,6.0,4,Mobile Phone,3,Married,3,0,2.0,136.9,0
21.0,11.0,4,Laptop & Accessory,2,Single,3,1,8.0,166.63,0
5.0,14.0,5,Fashion,3,Married,3,0,,214.43,0
8.0,17.0,4,Mobile Phone,3,Single,3,1,3.0,154.36,1
