Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn
13.0,7.0,4,Mobile Phone,3,Married,9,0,3.0,147.32,0
11.0,8.0,4,Fashion,3,Married,4,1,2.0,177.56,0
7.0,35.0,4,Laptop & Accessory,3,Married,3,1,8.0,177.07,0
1.0,17.0,5,Mobile Phone,5,Single,3,0,1.0,139.16,1
9.0,12.0,5,Mobile Phone,3,Married,2,0,7.0,127.41,0
0.0,,4,Mobile Phone,1,Single,2,1,1.0,123.89,1
20.0,10.0,4,Fashion,4,Married,9,1,10.0,203.33,0
16.0,9.0,4,Grocery,5,Married,2,0,8.0,301.65,0
,12.0,3,Mobile Phone,3,Married,9,0,2.0,122.67,0
8.0,7.0,2,Laptop & Accessory,1,Married,2,0,,222.25,0
11.0,8.0,1,Laptop & Accessory,5,Single,7,1,12.0,159.8,0
31.0,23.0,4,Laptop & Accessory,5,Single,10,0,3.0,179.05,0
12.0,9.0,2,Laptop & Accessory,4,Divorced,10,0,6.0,163.89,0
13.0,28.0,6,Laptop & Accessory,3,Married,8,0,3.0,182.36,0
,6.0,3,Mobile Phone,3,Married,8,0,2.0,122.32,0
17.0,15.0,4,Laptop & Accessory,4,Married,6,0,1.0,172.65,0
17.0,13.0,4,Fashion,1,Married,4,0,17.0,202.48,0
0.0,8.0,3,Laptop & Accessory,1,Married,1,0,2.0,142.27,0
5.0,9.0,6,Mobile Phone,1,Married,6,1,1.0,152.78,1
1.0,35.0,5,Laptop & Accessory,4,Married,2,0,7.0,165.49,0
7.0,12.0,3,Laptop & Accessory,3,Single,2,0,10.0,148.09,0
,9.0,4,Mobile Phone,3,Divorced,2,0,0.0,112.81,0
5.0,6.0,3,Mobile Phone,2,Married,1,0,2.0,123.14,0
,31.0,3,Mobile Phone,4,Married,2,1,8.0,120.22,1
20.0,21.0,4,Mobile Phone,4,Married,11,1,4.0,174.63,1
15.0,16.0,3,Mobile Phone,3,Married,4,0,3.0,129.36,0
16.0,10.0,2,Laptop & Accessory,2,Divorced,4,1,4.0,177.31,0
2.0,8.0,3,Laptop & Accessory,3,Married,2,0,2.0,146.49,0
19.0,9.0,1,Grocery,5,Married,3,0,8.0,232.25,0
27.0,13.0,4,Laptop & Accessory,2,Single,4,0,3.0,149.5,0
22.0,36.0,4,Fashion,3,Married,5,0,1.0,250.04,0
18.0,7.0,4,Mobile Phone,1,Single,8,1,3.0,149.36,0
3.0,9.0,4,Laptop & Accessory,1,Married,3,0,,213.53,0
6.0,6.0,1,Laptop & Accessory,5,Married,2,0,8.0,140.37,0
16.0,17.0,3,Fashion,3,Married,2,0,9.0,175.1,0
4.0,13.0,3,Laptop & Accessory,1,Married,4,0,7.0,159.15,0
5.0,9.0,4,Mobile Phone,2,Married,2,1,3.0,151.95,0
7.0,14.0,1,Laptop & Accessory,3,Married,3,0,2.0,144.04,0
23.0,15.0,5,Grocery,4,Married,8,0,4.0,256.2,0
1.0,18.0,4,Mobile Phone,5,Married,2,0,5.0,145.99,0
14.0,8.0,4,Grocery,5,Married,4,0,17.0,293.23,0
4.0,12.0,4,Mobile Phone,5,Married,7,0,31.0,157.04,0
20.0,10.0,3,Laptop & Accessory,3,Single,4,0,0.0,129.76,0
5.0,15.0,4,Fashion,2,Married,3,0,10.0,232.93,0
16.0,,3,Mobile Phone,1,Single,1,0,7.0,124.55,0
19.0,13.0,5,Fashion,1,Single,8,0,,213.65,0
15.0,14.0,3,Others,1,Married,2,0,9.0,284.3,0
1.0,32.0,4,Mobile Phone,3,Married,3,0,8.0,154.42,0
14.0,7.0,4,Laptop & Accessory,3,Single,5,1,1.0,172.28,1
11.0,16.0,4,Fashion,3,Married,1,1,7.0,187.4,0
12.0,17.0,4,Laptop & Accessory,1,Married,3,0,10.0,178.43,0
8.0,9.0,4,Mobile Phone,3,Married,8,0,3.0,147.31,0
16.0,31.0,4,Fashion,5,Divorced,3,1,9.0,199.06,0
16.0,9.0,4,Laptop & Accessory,1,Married,3,0,3.0,165.89,0
9.0,11.0,3,Fashion,5,Married,5,0,2.0,180.08,0
19.0,8.0,3,Fashion,1,Married,4,0,7.0,185.78,0
3.0,30.0,3,Mobile Phone,3,Married,2,0,0.0,126.93,0
8.0,8.0,5,Fashion,3,Married,3,1,7.0,195.83,0
28.0,8.0,4,Mobile Phone,1,Married,9,0,4.0,126.62,0
1.0,9.0,4,Mobile Phone,3,Single,3,0,3.0,152.83,0
0.0,8.0,3,Mobile Phone,3,Single,3,0,0.0,134.85,1
0.0,16.0,5,Mobile Phone,1,Married,8,0,3.0,134.08,1
1.0,16.0,5,Mobile Phone,5,Married,5,0,3.0,169.0,1
1.0,9.0,4,Mobile Phone,3,Married,8,1,3.0,164.77,0
12.0,14.0,5,Laptop & Accessory,1,Single,2,0,6.0,165.28,0
1.0,19.0,5,Mobile Phone,5,Married,3,0,1.0,145.33,1
,13.0,3,Mobile Phone,3,Married,2,0,0.0,112.74,0
0.0,8.0,3,Mobile Phone,3,Single,2,0,2.0,127.83,0
19.0,9.0,4,Others,5,Divorced,7,1,5.0,323.59,1
7.0,6.0,4,Fashion,5,Divorced,10,0,6.0,204.82,1
24.0,12.0,3,Others,3,Single,8,0,15.0,295.37,0
,6.0,4,Mobile Phone,4,Single,2,1,2.0,120.7,0
1.0,26.0,5,Mobile Phone,5,Married,3,0,8.0,165.66,0
14.0,16.0,4,Fashion,3,Single,11,0,14.0,259.99,0
9.0,7.0,4,Laptop & Accessory,3,Divorced,11,0,10.0,172.17,0
16.0,30.0,5,Laptop & Accessory,3,Single,3,0,8.0,168.32,0
7.0,9.0,5,Laptop & Accessory,5,Single,4,0,12.0,147.59,0
12.0,7.0,4,Laptop & Accessory,1,Married,9,0,10.0,172.35,0
6.0,13.0,3,Laptop & Accessory,5,Married,1,0,3.0,143.73,0
0.0,30.0,3,Mobile Phone,4,Single,9,0,2.0,135.97,0
8.0,28.0,2,Laptop & Accessory,1,Single,3,0,8.0,178.37,0
6.0,8.0,3,Mobile Phone,3,Divorced,2,0,4.0,136.0,0
0.0,9.0,3,Laptop & Accessory,3,Married,1,0,2.0,149.99,0
3.0,16.0,4,Mobile Phone,3,Married,11,0,3.0,154.74,0
,9.0,3,Mobile Phone,4,Single,5,0,2.0,120.88,0
7.0,6.0,4,Mobile Phone,4,Divorced,6,0,2.0,132.94,0
28.0,32.0,1,Others,4,Married,5,1,4.0,296.36,0
1.0,15.0,3,Laptop & Accessory,1,Single,2,0,7.0,152.53,0
1.0,14.0,3,Mobile Phone,1,Single,2,0,2.0,133.1,0
2.0,,4,Mobile Phone,1,Married,7,0,3.0,125.32,0
0.0,16.0,1,Mobile Phone,3,Single,2,0,2.0,135.05,0
1.0,26.0,5,Mobile Phone,4,Married,3,1,1.0,149.13,1
7.0,11.0,5,Mobile Phone,4,Divorced,10,0,3.0,163.38,0
8.0,6.0,3,Fashion,3,Single,2,0,8.0,187.89,0
30.0,13.0,3,Others,5,Divorced,6,0,10.0,295.66,0
9.0,15.0,4,Fashion,1,Single,2,0,7.0,196.19,1
8.0,7.0,4,Fashion,1,Single,3,0,,223.88,0
9.0,9.0,4,Fashion,1,Married,5,0,12.0,196.99,0
8.0,,4,Mobile Phone,5,Single,2,0,2.0,124.5,0
11.0,8.0,3,Laptop & Accessory,3,Married,10,0,0.0,165.53,0
9.0,16.0,3,Fashion,5,Married,8,1,7.0,183.21,0
8.0,23.0,3,Laptop & Accessory,5,Married,4,1,7.0,189.66,0
24.0,35.0,4,Grocery,5,Divorced,6,1,3.0,293.8,0
9.0,22.0,4,Laptop & Accessory,5,Married,5,0,2.0,156.47,0
10.0,7.0,4,Laptop & Accessory,4,Married,2,0,6.0,177.28,0
15.0,21.0,4,Mobile Phone,3,Married,6,0,9.0,149.51,0
31.0,16.0,5,Mobile Phone,4,Divorced,6,1,1.0,158.46,0
13.0,31.0,4,Laptop & Accessory,1,Single,9,0,8.0,166.08,0
26.0,15.0,4,Mobile Phone,5,Divorced,11,0,5.0,154.5,0
4.0,13.0,5,Laptop & Accessory,2,Divorced,2,0,8.0,171.27,0
16.0,10.0,4,Fashion,2,Single,4,0,17.0,202.31,0
18.0,10.0,3,Laptop & Accessory,4,Married,2,0,8.0,144.47,0
28.0,12.0,4,Others,5,Divorced,6,0,3.0,319.06,0
3.0,30.0,4,Mobile Phone,2,Single,11,0,3.0,147.01,0
2.0,36.0,4,Laptop & Accessory,5,Divorced,9,1,1.0,191.73,1
14.0,9.0,5,Mobile Phone,2,Single,2,1,4.0,148.42,0
0.0,12.0,5,Laptop & Accessory,3,Divorced,5,1,7.0,161.72,1
1.0,34.0,4,Fashion,2,Divorced,3,0,10.0,201.39,1
1.0,16.0,4,Laptop & Accessory,5,Married,6,0,8.0,178.46,1
20.0,10.0,4,Grocery,3,Married,5,0,10.0,299.65,0
9.0,10.0,4,Fashion,1,Married,8,0,9.0,203.23,0
1.0,25.0,4,Mobile Phone,3,Married,2,0,3.0,152.74,0
13.0,12.0,3,Grocery,3,Single,8,0,13.0,232.37,0
24.0,6.0,4,Fashion,5,Single,4,0,8.0,174.84,0
10.0,14.0,3,Laptop & Accessory,4,Married,3,0,7.0,140.71,0
14.0,33.0,4,Laptop & Accessory,5,Divorced,3,0,6.0,208.96,0
10.0,,3,Mobile Phone,2,Divorced,2,1,2.0,123.26,0
4.0,23.0,4,Mobile Phone,1,Married,3,0,9.0,153.62,0
3.0,10.0,5,Fashion,3,Divorced,3,0,8.0,244.35,0
4.0,10.0,4,Mobile Phone,1,Married,6,0,5.0,145.97,0
2.0,27.0,1,Fashion,5,Married,2,0,8.0,199.8,0
0.0,8.0,1,Laptop & Accessory,3,Single,1,0,7.0,165.0,0
18.0,7.0,5,Laptop & Accessory,3,Single,6,0,3.0,184.85,0
6.0,17.0,4,Laptop & Accessory,1,Single,10,0,1.0,171.48,0
9.0,12.0,3,Mobile Phone,1,Married,1,0,11.0,132.1,0
25.0,12.0,3,Laptop & Accessory,5,Married,4,1,9.0,155.77,0
7.0,10.0,4,Mobile Phone,4,Married,5,1,4.0,147.77,0
,8.0,3,Mobile Phone,1,Married,2,0,2.0,120.14,0
12.0,17.0,3,Fashion,2,Divorced,2,0,7.0,176.54,1
8.0,8.0,5,Others,4,Single,3,1,11.0,288.24,1
,8.0,1,Mobile Phone,2,Divorced,2,0,7.0,120.11,0
16.0,15.0,4,Others,1,Married,3,0,10.0,309.3,0
7.0,9.0,4,Mobile Phone,1,Single,2,0,3.0,150.0,0
2.0,8.0,3,Laptop & Accessory,1,Married,2,0,3.0,188.53,0
27.0,14.0,4,Others,3,Married,5,0,8.0,311.06,0
4.0,17.0,5,Laptop & Accessory,3,Divorced,3,0,5.0,190.78,0
0.0,9.0,4,Fashion,2,Divorced,2,1,7.0,203.25,1
1.0,17.0,4,Laptop & Accessory,3,Married,3,1,4.0,167.6,0
24.0,15.0,3,Others,4,Married,5,1,10.0,298.47,0
28.0,26.0,3,Laptop & Accessory,1,Married,4,1,8.0,154.15,0
27.0,11.0,3,Others,5,Divorced,5,0,2.0,294.06,0
0.0,14.0,1,Laptop & Accessory,4,Married,1,0,2.0,148.51,0
0.0,6.0,3,Laptop & Accessory,4,Divorced,1,1,4.0,163.49,0
12.0,7.0,4,Mobile Phone,5,Single,5,0,1.0,151.19,0
0.0,29.0,4,Fashion,5,Married,2,0,10.0,173.36,1
16.0,16.0,4,Mobile Phone,1,Single,3,0,9.0,161.73,0
5.0,35.0,3,Mobile Phone,3,Single,10,0,7.0,140.25,0
1.0,7.0,4,Fashion,5,Divorced,3,0,8.0,199.12,0
3.0,17.0,5,Laptop & Accessory,4,Married,3,1,8.0,207.68,0
9.0,25.0,4,Laptop & Accessory,3,Married,3,1,3.0,181.89,0
9.0,6.0,4,Fashion,5,Married,3,0,,215.69,0
8.0,13.0,4,Mobile Phone,1,Married,2,0,1.0,126.9,0
0.0,8.0,4,Mobile Phone,2,Single,8,0,0.0,127.85,1
1.0,30.0,5,Laptop & Accessory,3,Married,5,1,2.0,184.16,1
1.0,12.0,2,Laptop & Accessory,5,Married,3,0,6.0,165.0,0
4.0,11.0,3,Mobile Phone,2,Divorced,1,1,3.0,148.21,0
10.0,18.0,5,Laptop & Accessory,4,Single,3,0,4.0,189.99,0
0.0,30.0,4,Fashion,5,Single,2,0,9.0,187.22,1
12.0,9.0,4,Laptop & Accessory,3,Married,1,0,7.0,130.69,0
3.0,8.0,4,Mobile Phone,1,Married,3,0,3.0,162.6,0
0.0,,3,Mobile Phone,4,Single,1,0,2.0,124.22,1
19.0,27.0,6,Fashion,5,Married,4,1,8.0,233.51,0
15.0,18.0,3,Laptop & Accessory,1,Married,4,1,0.0,150.87,0
3.0,16.0,5,Mobile Phone,2,Single,2,0,3.0,164.83,0
21.0,14.0,5,Fashion,5,Married,9,1,,225.08,1
10.0,14.0,2,Laptop & Accessory,5,Married,4,0,14.0,171.39,0
10.0,16.0,1,Fashion,1,Married,2,1,8.0,237.44,0
10.0,14.0,4,Mobile Phone,1,Single,4,0,2.0,171.78,0
8.0,24.0,3,Laptop & Accessory,5,Married,1,0,4.0,155.61,0
0.0,,3,Mobile Phone,3,Single,2,0,0.0,123.18,0
3.0,11.0,4,Mobile Phone,2,Married,10,0,3.0,137.61,0
23.0,8.0,3,Grocery,3,Married,6,0,3.0,276.39,0
1.0,13.0,2,Mobile Phone,5,Divorced,3,1,1.0,141.01,1
3.0,14.0,3,Fashion,3,Married,6,0,7.0,172.64,0
6.0,31.0,3,Laptop & Accessory,3,Married,2,0,1.0,145.39,0
11.0,17.0,4,Mobile Phone,5,Married,2,1,4.0,152.82,0
2.0,33.0,3,Laptop & Accessory,3,Divorced,5,0,1.0,143.35,0
0.0,,3,Mobile Phone,1,Married,1,0,1.0,125.23,0
11.0,7.0,6,Laptop & Accessory,1,Married,3,0,,220.25,0
27.0,7.0,3,Grocery,1,Single,7,0,7.0,273.28,0
17.0,13.0,5,Grocery,2,Married,6,1,1.0,291.27,0
24.0,14.0,4,Fashion,4,Married,6,0,,224.9,0
9.0,32.0,4,Fashion,3,Married,3,1,,228.88,0
0.0,29.0,4,Laptop & Accessory,3,Divorced,4,1,1.0,159.16,1
,12.0,1,Mobile Phone,5,Married,2,1,0.0,116.01,1
0.0,14.0,3,Fashion,3,Single,2,0,7.0,187.26,0
11.0,7.0,5,Laptop & Accessory,3,Married,3,0,8.0,184.93,0
1.0,12.0,4,Others,3,Married,8,0,1.0,308.03,0
18.0,35.0,3,Fashion,1,Divorced,5,1,2.0,193.8,0
14.0,14.0,4,Others,4,Single,3,0,9.0,323.33,0
,9.0,3,Mobile Phone,1,Single,2,1,0.0,115.69,1
14.0,27.0,4,Fashion,1,Married,6,0,,228.22,0
10.0,17.0,3,Mobile Phone,3,Single,5,0,2.0,136.29,0
0.0,32.0,3,Laptop & Accessory,1,Single,2,0,4.0,161.8,0
21.0,9.0,5,Mobile Phone,2,Single,3,1,3.0,157.94,0
20.0,9.0,4,Grocery,5,Married,10,0,10.0,295.48,0
0.0,7.0,3,Mobile Phone,3,Single,1,0,2.0,133.75,0
21.0,9.0,4,Laptop & Accessory,4,Married,9,0,1.0,174.78,0
18.0,17.0,4,Laptop & Accessory,1,Married,4,1,4.0,189.65,0
3.0,,3,Mobile Phone,4,Divorced,2,0,0.0,124.76,0
1.0,33.0,4,Laptop & Accessory,1,Married,3,1,9.0,181.17,1
7.0,14.0,1,Laptop & Accessory,3,Married,2,0,8.0,167.99,0
8.0,6.0,3,Fashion,4,Divorced,2,0,6.0,172.95,0
,7.0,3,Mobile Phone,3,Married,1,0,3.0,120.64,0
0.0,17.0,2,Laptop & Accessory,3,Divorced,9,0,2.0,147.07,1
5.0,9.0,6,Mobile Phone,1,Married,3,1,1.0,136.29,0
28.0,8.0,4,Grocery,5,Single,8,0,2.0,267.56,0
1.0,15.0,2,Mobile Phone,3,Married,9,0,3.0,160.17,0
25.0,33.0,4,Grocery,3,Married,4,0,18.0,288.07,0
,9.0,3,Mobile Phone,3,Married,2,0,0.0,120.83,0
15.0,12.0,2,Laptop & Accessory,4,Single,5,0,3.0,193.7,0
3.0,21.0,4,Fashion,5,Married,3,0,7.0,171.4,0
3.0,28.0,4,Laptop & Accessory,3,Married,3,1,0.0,163.8,1
3.0,9.0,4,Laptop & Accessory,3,Married,3,0,3.0,171.49,0
8.0,,3,Mobile Phone,3,Married,2,0,0.0,124.04,0
8.0,8.0,4,Fashion,4,Married,3,0,4.0,202.74,0
6.0,6.0,4,Mobile Phone,5,Single,4,1,2.0,127.99,0
8.0,9.0,5,Mobile Phone,5,Single,3,0,4.0,168.81,0
1.0,14.0,4,Mobile Phone,4,Single,3,0,1.0,151.79,1
0.0,15.0,3,Mobile Phone,5,Single,8,0,4.0,142.0,1
8.0,9.0,4,Laptop & Accessory,3,Single,4,0,3.0,165.33,0
4.0,14.0,4,Laptop & Accessory,5,Married,9,0,3.0,172.79,0
4.0,8.0,5,Mobile Phone,2,Married,5,1,0.0,127.78,1
9.0,32.0,5,Fashion,4,Divorced,5,0,9.0,234.03,0
1.0,8.0,5,Mobile Phone,3,Married,3,1,1.0,154.33,0
9.0,17.0,3,Fashion,1,Married,1,0,8.0,197.38,0
1.0,10.0,2,Mobile Phone,2,Divorced,3,0,8.0,169.2,0
25.0,16.0,4,Mobile Phone,1,Married,5,0,4.0,145.75,0
14.0,11.0,5,Fashion,1,Married,9,0,12.0,233.55,0
0.0,15.0,3,Mobile Phone,5,Single,3,1,0.0,131.72,1
9.0,18.0,4,Laptop & Accessory,2,Married,3,0,3.0,174.68,0
29.0,25.0,4,Grocery,4,Single,5,0,8.0,293.35,0
21.0,32.0,4,Fashion,3,Single,4,0,,211.33,0
2.0,26.0,5,Mobile Phone,5,Divorced,3,0,4.0,156.96,0
11.0,20.0,3,Laptop & Accessory,4,Married,1,0,7.0,199.24,0
9.0,12.0,4,Fashion,4,Single,2,0,14.0,205.95,0
26.0,26.0,4,Mobile Phone,1,Married,2,0,3.0,167.58,0
0.0,10.0,3,Mobile Phone,1,Single,2,1,2.0,128.75,0
5.0,19.0,4,Mobile Phone,4,Divorced,2,0,2.0,127.43,0
7.0,16.0,3,Mobile Phone,3,Single,2,1,2.0,129.36,1
1.0,15.0,6,Mobile Phone,5,Married,3,0,2.0,149.51,0
0.0,32.0,3,Laptop & Accessory,2,Single,2,0,4.0,161.8,0
13.0,7.0,5,Grocery,1,Married,3,0,9.0,252.42,0
13.0,15.0,3,Laptop & Accessory,5,Married,1,0,1.0,154.73,0
9.0,14.0,4,Fashion,5,Single,2,0,9.0,175.87,0
10.0,15.0,4,Laptop & Accessory,1,Married,6,0,8.0,175.79,0
1.0,7.0,2,Fashion,4,Single,3,0,8.0,199.46,1
7.0,15.0,5,Mobile Phone,1,Single,2,0,3.0,148.42,0
0.0,24.0,3,Laptop & Accessory,3,Divorced,1,1,2.0,146.14,1
17.0,9.0,4,Laptop & Accessory,1,Married,3,0,8.0,181.75,0
12.0,7.0,4,Fashion,5,Married,3,0,12.0,260.82,0
0.0,,4,Mobile Phone,5,Single,2,1,0.0,126.0,1
13.0,,3,Mobile Phone,4,Married,4,0,3.0,123.87,0
12.0,14.0,3,Laptop & Accessory,5,Married,3,1,8.0,181.05,0
23.0,12.0,4,Laptop & Accessory,3,Divorced,4,0,3.0,191.51,0
14.0,15.0,4,Laptop & Accessory,1,Married,5,1,3.0,165.69,0
7.0,6.0,4,Fashion,3,Divorced,2,1,6.0,170.83,0
13.0,10.0,3,Others,3,Divorced,2,0,9.0,290.33,0
4.0,29.0,4,Laptop & Accessory,2,Divorced,1,0,8.0,155.82,0
1.0,8.0,6,Mobile Phone,3,Single,3,0,1.0,138.59,1
19.0,18.0,4,Grocery,2,Divorced,5,0,2.0,301.5,0
4.0,9.0,5,Mobile Phone,5,Single,2,0,8.0,174.68,0
6.0,7.0,5,Mobile Phone,4,Married,2,0,3.0,147.69,0
5.0,31.0,4,Laptop & Accessory,1,Single,4,0,5.0,177.38,0
6.0,20.0,5,Mobile Phone,4,Married,3,0,3.0,159.0,0
8.0,13.0,3,Laptop & Accessory,1,Married,2,1,9.0,152.04,0
1.0,13.0,2,Mobile Phone,1,Married,2,0,8.0,150.44,0
11.0,23.0,5,Laptop & Accessory,3,Married,6,0,1.0,188.34,0
1.0,23.0,4,Mobile Phone,4,Married,4,1,3.0,148.73,1
1.0,18.0,3,Laptop & Accessory,3,Divorced,10,0,3.0,172.07,1
0.0,12.0,4,Mobile Phone,1,Single,2,1,0.0,129.26,1
17.0,11.0,5,Fashion,1,Single,5,0,,227.31,0
22.0,8.0,3,Others,1,Married,4,0,3.0,291.61,0
24.0,9.0,4,Grocery,3,Divorced,7,0,4.0,301.39,0
8.0,31.0,3,Fashion,3,Married,2,1,1.0,203.88,0
10.0,21.0,4,Laptop & Accessory,2,Divorced,2,1,12.0,190.86,0
8.0,15.0,4,Laptop & Accessory,5,Married,7,0,3.0,190.0,0
1.0,7.0,5,Laptop & Accessory,1,Married,1,0,5.0,166.74,0
31.0,7.0,4,Fashion,1,Married,5,1,5.0,244.04,0
11.0,,3,Mobile Phone,5,Single,4,0,0.0,126.19,0
8.0,16.0,3,Mobile Phone,1,Married,2,0,2.0,139.17,0
11.0,20.0,4,Laptop & Accessory,1,Married,3,0,8.0,167.85,0
7.0,17.0,4,Laptop & Accessory,4,Divorced,5,0,8.0,144.9,0
10.0,13.0,3,Fashion,3,Single,5,0,2.0,236.64,0
25.0,25.0,3,Mobile Phone,1,Married,1,0,2.0,142.58,0
29.0,15.0,5,Grocery,4,Married,3,1,1.0,260.77,0
23.0,,3,Mobile Phone,2,Divorced,5,0,0.0,123.8,0
12.0,21.0,3,Grocery,5,Single,1,0,10.0,233.41000000000005,0
7.0,24.0,4,Grocery,3,Single,3,0,1.0,299.44,0
0.0,24.0,1,Mobile Phone,5,Married,1,0,0.0,129.56,1
9.0,7.0,6,Mobile Phone,1,Married,3,0,2.0,154.77,0
19.0,7.0,3,Mobile Phone,5,Single,7,0,7.0,134.23,0
1.0,10.0,4,Laptop & Accessory,3,Divorced,2,1,3.0,166.71,1
,8.0,4,Mobile Phone,3,Single,2,0,0.0,122.74,0
10.0,10.0,4,Mobile Phone,1,Married,7,0,1.0,153.35,0
6.0,31.0,4,Laptop & Accessory,4,Single,2,0,2.0,143.2,0
6.0,15.0,2,Laptop & Accessory,2,Divorced,3,0,9.0,187.09,0
2.0,28.0,2,Fashion,4,Married,8,0,,219.96,0
3.0,22.0,3,Laptop & Accessory,3,Divorced,9,0,2.0,153.01,0
8.0,10.0,6,Laptop & Accessory,1,Single,7,0,3.0,185.29,0
1.0,12.0,3,Laptop & Accessory,5,Married,3,0,6.0,165.0,0
25.0,8.0,4,Others,3,Single,2,1,12.0,290.68,0
9.0,35.0,5,Mobile Phone,3,Married,2,0,3.0,149.3,0
3.0,17.0,4,Mobile Phone,4,Married,3,0,3.0,147.97,0
6.0,13.0,3,Fashion,3,Married,1,0,,216.91000000000005,0
14.0,12.0,4,Laptop & Accessory,4,Single,7,1,2.0,160.32,0
1.0,11.0,4,Mobile Phone,5,Single,3,0,1.0,154.73,1
11.0,11.0,4,Mobile Phone,3,Divorced,9,1,4.0,154.96,0
,15.0,3,Mobile Phone,2,Divorced,2,0,4.0,120.7,0
23.0,18.0,3,Fashion,1,Single,5,0,1.0,192.08,0
12.0,8.0,1,Fashion,3,Single,1,0,7.0,178.8,0
18.0,29.0,3,Laptop & Accessory,5,Married,2,1,8.0,136.33,0
22.0,9.0,2,Laptop & Accessory,4,Married,5,0,3.0,206.2,0
15.0,9.0,1,Laptop & Accessory,1,Married,3,1,3.0,152.31,0
27.0,8.0,4,Fashion,3,Divorced,7,0,0.0,206.86,0
26.0,11.0,4,Grocery,1,Married,4,0,5.0,290.55,0
23.0,8.0,3,Grocery,5,Divorced,3,0,2.0,278.56,0
17.0,6.0,3,Laptop & Accessory,3,Divorced,8,0,0.0,147.68,0
13.0,,3,Mobile Phone,3,Married,3,0,2.0,123.45,0
5.0,11.0,4,Laptop & Accessory,4,Married,4,0,5.0,158.78,0
18.0,15.0,4,Laptop & Accessory,3,Married,2,0,12.0,155.93,0
